id,name,city,state,address,phone,latitude,longitude,source_url,source_checked_at
1,AIIMS Blood Bank,Delhi,Delhi,"Ansari Nagar, New Delhi",011-26588700,28.6139,77.209,https://nbtc.nic.in/BloodBanks,2024-01-15
2,Lok Nayak Hospital Blood Bank,Delhi,Delhi,"Jawaharlal Nehru Marg, New Delhi",011-23236000,28.6139,77.209,https://nbtc.nic.in/BloodBanks,2024-01-15
3,Safdarjung Hospital Blood Bank,Delhi,Delhi,"Ring Road, New Delhi",011-26165060,28.6139,77.209,https://nbtc.nic.in/BloodBanks,2024-01-15
4,Tata Memorial Hospital Blood Bank,Mumbai,Maharashtra,"Dr. E Borges Road, Parel, Mumbai",022-24177000,19.076,72.8777,https://nbtc.nic.in/BloodBanks,2024-01-15
5,KEM Hospital Blood Bank,Mumbai,Maharashtra,"Acharya Donde Marg, Parel, Mumbai",022-24107000,19.076,72.8777,https://nbtc.nic.in/BloodBanks,2024-01-15
6,Hinduja Hospital Blood Bank,Mumbai,Maharashtra,"Veer Savarkar Marg, Mahim, Mumbai",022-24449199,19.076,72.8777,https://nbtc.nic.in/BloodBanks,2024-01-15
7,NIMHANS Blood Bank,Bangalore,Karnataka,"Hosur Road, Bengaluru",080-26995000,12.9716,77.5946,https://nbtc.nic.in/BloodBanks,2024-01-15
8,Victoria Hospital Blood Bank,Bangalore,Karnataka,"Fort Road, Bengaluru",080-26701150,12.9716,77.5946,https://nbtc.nic.in/BloodBanks,2024-01-15
9,Apollo Hospitals Blood Bank,Bangalore,Karnataka,"Bannerghatta Road, Bengaluru",080-26304050,12.9716,77.5946,https://nbtc.nic.in/BloodBanks,2024-01-15
10,Rajiv Gandhi GH Blood Bank,Chennai,Tamil Nadu,"EVR Periyar Salai, Chennai",044-25305000,13.0827,80.2707,https://nbtc.nic.in/BloodBanks,2024-01-15
11,Stanley Medical College Blood Bank,Chennai,Tamil Nadu,"Old Jail Road, Chennai",044-25281347,13.0827,80.2707,https://nbtc.nic.in/BloodBanks,2024-01-15
12,Apollo Hospital Blood Bank,Chennai,Tamil Nadu,"Greams Road, Chennai",044-28293333,13.0827,80.2707,https://nbtc.nic.in/BloodBanks,2024-01-15
13,Osmania General Hospital Blood Bank,Hyderabad,Telangana,"Afzal Gunj, Hyderabad",040-24600121,17.385,78.4867,https://nbtc.nic.in/BloodBanks,2024-01-15
14,Gandhi Hospital Blood Bank,Hyderabad,Telangana,"Padmarao Nagar, Secunderabad",040-27702222,17.385,78.4867,https://nbtc.nic.in/BloodBanks,2024-01-15
15,NIMS Blood Bank,Hyderabad,Telangana,"Punjagutta, Hyderabad",040-23489000,17.385,78.4867,https://nbtc.nic.in/BloodBanks,2024-01-15
16,SSKM Hospital Blood Bank,Kolkata,West Bengal,"AJC Bose Road, Kolkata",033-22231589,22.5726,88.3639,https://nbtc.nic.in/BloodBanks,2024-01-15
17,Medical College Hospital Blood Bank,Kolkata,West Bengal,"College Street, Kolkata",033-22551621,22.5726,88.3639,https://nbtc.nic.in/BloodBanks,2024-01-15
18,Sassoon General Hospital Blood Bank,Pune,Maharashtra,"Station Road, Pune",020-26128000,18.5204,73.8567,https://nbtc.nic.in/BloodBanks,2024-01-15
19,Jehangir Hospital Blood Bank,Pune,Maharashtra,"Sassoon Road, Pune",020-66819999,18.5204,73.8567,https://nbtc.nic.in/BloodBanks,2024-01-15
20,Civil Hospital Blood Bank,Ahmedabad,Gujarat,"Asarwa, Ahmedabad",079-22683721,23.0225,72.5714,https://nbtc.nic.in/BloodBanks,2024-01-15
21,SVP Hospital Blood Bank,Ahmedabad,Gujarat,"Ellisbridge, Ahmedabad",079-26580123,23.0225,72.5714,https://nbtc.nic.in/BloodBanks,2024-01-15
22,SMS Hospital Blood Bank,Jaipur,Rajasthan,"JLN Marg, Jaipur",0141-2560291,26.9124,75.7873,https://nbtc.nic.in/BloodBanks,2024-01-15
23,Fortis Hospital Blood Bank,Jaipur,Rajasthan,"JLN Marg, Jaipur",0141-2547000,26.9124,75.7873,https://nbtc.nic.in/BloodBanks,2024-01-15
24,KGMU Blood Bank,Lucknow,Uttar Pradesh,"Chowk, Lucknow",0522-2257450,26.8467,80.9462,https://nbtc.nic.in/BloodBanks,2024-01-15
25,SGPGI Blood Bank,Lucknow,Uttar Pradesh,"Raebareli Road, Lucknow",0522-2494000,26.8467,80.9462,https://nbtc.nic.in/BloodBanks,2024-01-15
26,RML Hospital Blood Bank,Lucknow,Uttar Pradesh,"Vibhuti Khand, Gomti Nagar, Lucknow",0522-4918500,26.8467,80.9462,https://nbtc.nic.in/BloodBanks,2024-01-15
27,Ruby Hall Clinic Blood Bank,Pune,Maharashtra,"Sassoon Road, Pune",020-66455100,18.5204,73.8567,https://nbtc.nic.in/BloodBanks,2024-01-15
28,Manipal Hospital Blood Bank,Bangalore,Karnataka,"Old Airport Road, Bengaluru",080-25024444,12.9716,77.5946,https://nbtc.nic.in/BloodBanks,2024-01-15
